TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
012FWFL42A,"Burrow Beck at Lancaster, around Canterbury Ave, Cranwell Ave and Bowerham Road",7,79,43,24,67
012FWFL42B,"Burrow Beck at Lancaster, between Newlands Ave, Lentworth Drive and Whinfell Drive",8,102,36,43,79
012FWFL43A,"River Ribble at Samlesbury, around Brockholes Reserve and Lower Brockholes",5,,,,
012FWFL43B,"River Ribble at Samlesbury, between Brockholes and Preston New Road",7,15,11,0,11
012FWFL45A,"Colne Water at Cotton Tree, Spring Grove to Cotton Tree Lane",6,101,29,59,88
012FWFL45B,"Colne Water at Cotton Tree, bordering Cotton Tree Lane",6,49,11,31,42
012FWFL46A,"Colne Water at Primet Bridge, Bridge Street to M65",6,52,12,18,30
012FWFL46B,"Colne Water at Primet Bridge, between Greenfield Road and the railway line",7,80,7,34,41
012FWFL47A,Colne Water at Lenches around Mill Green and Dam Side,5,,,,
012FWFL47B,Colne Water at Lenches between Cotton Tree Lane and Bridge Street,6,28,4,11,15
012FWFL48A,"Trawden Brook at Trawden, around Skipton Road from the library to the junction with Lachman Road",5,81,31,38,69
012FWFL48B,"Trawden Brook at Trawden, between Lachman Road and the library",5,40,14,22,36
012FWFL49A,"River Brun at Burnley, Netherwood Road and Thompson Park",7,26,8,11,19
012FWFL49B,"River Brun at Burnley, Church Street, Keirby Walk",7,66,8,15,23
012FWFL4A,"River Wenning at Hornby, area to the west of Post Horse Lane",5,,,,
012FWFL4B,"River Wenning at Hornby, beside Main Street",7,125,37,49,86
012FWFL50A,"River Lune at Halton, adjacent to river from Forgebank Walk to M6 bridge",5,44,32,1,33
012FWFL50B,"River Lune at Halton, bordering M6, Church Brow, Mill Lane and Denny Beck Lane",4,114,56,31,87
012FWFL51,Walverden Water at Nelson,6,73,3,26,29
012FWFL52,Rivers in Accrington and Oswaldtwistle,6,913,28,513,541
012FWFL53,"River Lostock, Shaw Brook and Bannister Brook at Leyland",7,1553,129,985,1114
012FWFL54,Sandy Brook and Hurlston Brook at Ormskirk,5,208,67,100,167
012FWFL55A,"River Lune at Caton, Aughton Barns to Brow Cottage",2,,,,
012FWFL55B,"River Lune at Caton, Claughton Terrace to Low Mill",2,85,11,33,44
012FWFL56,River Wenning at Wennington,1,,,,
012FWFL57,"River Blakewater at Blackburn, Cob Wall and Brookhouse",1,243,10,105,115
012FWFL58,River Blakewater and Knuzden Brook at Whitebirk and Green Bank,1,25,2,3,5
012FWFL59A,"Black Brook at Chorley, south Temple Fields",1,,,,
012FWFL59B,"Black Brook at Chorley, Heapey Road to Cowling",1,25,0,11,11
012FWFL59C,"Black Brook at Chorley, Rivington View estate",1,98,1,74,75
012FWFL5A,"River Ribble at Ribchester, area surrounding Blackburn Road",14,11,6,0,6
012FWFL5B,"River Ribble at Ribchester, bordering Boyces Brook, Greenside and surrounding areas",13,59,41,13,54
012FWFL62A,"Upper River Darwen at Darwen, Cross Street to Holme Street",1,19,1,6,7
012FWFL62B,"Upper River Darwen at Darwen, Clough Street to Cross Street",1,33,1,18,19
012FWFL63,"Ewood Mill Race at Ewood, Blackburn",1,158,7,104,111
012FWFL64,Skirden Beck and Kirk Beck at Bolton by Bowland,1,30,9,15,24
012FWFL65,Syd Brook at Eccleston,1,51,13,17,30
012FWFL66,Sefton Street Watercourse at Brierfield,1,196,3,138,141
012FWFL67A,"Horsebridge Dyke at Poulton le Fylde, Adlington Avenue area",1,15,1,10,11
012FWFL67B,"Horsebridge Dyke at Poulton le Fylde, between A586 and the golf club",1,89,7,67,74
012FWFL68,Sabden Brook and Badger Well Water at Sabden,1,118,12,73,85
012FWFL69A,"Boyces Brook and Duddel Brook at Ribchester, Ribblesdale Road and Church Street areas",1,70,33,17,50
012FWFL69B,"Boyces Brook and Duddel Brook at Ribchester, Sarmatian Fold and Fort Avenue areas",1,166,51,68,119
